Group,ATE,Lower_CI,Upper_CI,P,N,SE,,,
1,-0.02,-0.10,0.05,0.54,4107.00,0.04,,-2.4,"[-9.9, 5.2]"
10,-0.03,-0.10,0.03,0.30,3374.00,0.03,,-3.4,"[-9.9, 3.1]"
20,0.02,-0.08,0.12,0.67,3070.00,0.05,,2.1,"[-7.5, 11.7]"
30,0.10,-0.10,0.05,0.48,2821.00,0.04,,9.9,"[-10.1, 4.7]"
40,0.00,-0.10,0.10,0.98,2629.00,0.05,,-0.1,"[-10.1, 9.9]"
50,0.01,-0.09,0.10,0.87,2530.00,0.05,,0.8,"[-8.6, 10.2]"
60,0.03,0.06,0.14,0.58,2118.00,0.06,,3.1,"[5.6, 14.1]"
70,0.00,-0.07,0.07,0.99,1822.00,0.03,,0.1,"[-6.7, 6.8]"
80,-0.10,-0.15,-0.06,0.00,1465.00,0.02,,-10.4,"[-14.7, -6.2]"
90,-0.09,-0.19,0.02,0.10,1072.00,0.05,,-8.6,"[-18.8, 1.5]"
100,-0.23,-0.36,-0.11,0.00,338.00,0.06,,-23.1,"[-35.6, -10.5]"